"HS_ID","Skupina","Podskupina","Kategorie výrobku","Zdroj","Included","CAGR_2022_30_ANALYSIS","IS_REALCAGR","CAGR_2022_30_FORECAST","CZ_Nazev","ENG_Nazev","Upravováno na novou HS22 terminologii","Odkud","Nově vloženo","Proč, odkud","IMF","","","","","","","","","",""
"902730","E01. Měřící a diagnostické přístroje; Monitoring","E01e. Chemická analýza (HS9027)","Spektrometry","LSE Navigator","IN","","N","0.0400","Spektrometry,-grafy ap použív.optické záření","Spectrometers, spectrophotometers and spectrographs: using optical radiations (UV, visible, IR)","","","","","1","","","","","","","","","",""
"280461","A04. Výroba nízkoemisní elektřiny a paliv","A04b. Solární","Komponenty pro solární energetiku","""Technology Evolution of Chinaâ€™s Export of Renewable Energy Products"" By Xuping Cao et al, 2018; https://www.researchgate.net/publication/327123861_Technology_Evolution_of_China's_Export_of_Renewable_Energy_Products","IN","0.1200","Y","0.1200","Křemík,obsahující nad 99,99% křemíku","Silicon: containing by weight not less than 99.99% of silicon","","","","","0","","","","","","","","","",""
"841869","A03. Budovy","A03b. Elektrifikace tepelného hospodářství","Tepelná čerpadla a HVAC","LSE Navigator","IN","","N","0.0400","Zařízení chladicí,mrazicí ost.","Refrigerating or freezing equipment: n.e.c. in heading no. 8418","","","","","1","","","","","","","","","",""
"860310","A02. Doprava","A02a. Železniční (osobní i nákladní)","Nové lokomotivy a vozy","LSE Navigator","IN","0.0500","Y","0.0500","Vozy motorové žel.aj kolej.dopravy,vněj.zdroj","Railway or tramway coaches, vans and trucks: self-propelled, powered from an external source of electricity (excluding those of heading no. 8604)","","","","","0","","","","","","","","","",""
"730230","A02. Doprava","A02a. Železniční (osobní i nákladní)","Infrastruktura (nové tratě a elektrifikace stávajících)","LSE Navigator","IN","0.0500","Y","0.0500","Hrotnice,výhybky aj zař.přejezdová z žel,ocel","Iron or steel, railway or tramway track construction material: switch blades, crossing frogs, point rods and other crossing pieces","","","","","0","","","","","","","","","",""
"730210","A02. Doprava","A02a. Železniční (osobní i nákladní)","Infrastruktura (nové tratě a elektrifikace stávajících)","LSE Navigator","IN","0.0500","Y","0.0500","Kolejnice z železa,oceli","Iron or steel, railway or tramway track construction material: rails","","","","","0","","","","","","","","","",""
"860500","A02. Doprava","A02a. Železniční (osobní i nákladní)","Nové lokomotivy a vozy","LSE Navigator","IN","0.0500","Y","0.0500","Vozy osobní,poštovní ap železn.aj,bez pohonu","Railway or tramway coaches: passenger coaches, luggage vans, post office coaches and other special purpose railway or tramway coaches, not self-propelled (excluding those of heading no. 8604)","","","","","0","","","","","","","","","",""
"730240","A02. Doprava","A02a. Železniční (osobní i nákladní)","Díly a vybavení","LSE Navigator","IN","0.0500","Y","0.0500","Spojky,podkladnice kolejnicové z železa,oceli","Iron or steel, railway or tramway track construction material: fish-plates and sole plates","","","","","0","","","","","","","","","",""
"860630","A02. Doprava","A02a. Železniční (osobní i nákladní)","Nové lokomotivy a vozy","LSE Navigator","IN","0.0500","Y","0.0500","Vagóny samovýsypné,bez pohonu","Railway or tramway goods vans and wagons: self-discharging, not self-propelled, excluding those of item no. 8606.10","","","","","0","","","","","","","","","",""
"860692","A02. Doprava","A02a. Železniční (osobní i nákladní)","Nové lokomotivy a vozy","LSE Navigator","IN","0.0500","Y","0.0500","Vagóny nákl.otevřené,bočn.nad 60cm,bez pohonu","Railway or tramway goods vans and wagons: open, with non-removable sides of a height exceeding 60cm, not self-propelled","","","","","0","","","","","","","","","",""
"730290","A02. Doprava","A02a. Železniční (osobní i nákladní)","Díly a vybavení","LSE Navigator","IN","0.0500","Y","0.0500","Mat.ost.pro stavbu tratí žel,tram.z žel,oceli","Iron or steel, railway or tramway track construction material: n.e.c. in heading no. 7302","","","","","0","","","","","","","","","",""
"860110","A02. Doprava","A02a. Železniční (osobní i nákladní)","Nové lokomotivy a vozy","LSE Navigator","IN","0.0500","Y","0.0500","Lokomotivy,lokotraktory,vnější zdroj proudu","Rail locomotives: powered from an external source of electricity","","","","","0","","","","","","","","","",""
"860120","A02. Doprava","A02a. Železniční (osobní i nákladní)","Nové lokomotivy a vozy","LSE Navigator","IN","0.0500","Y","0.0500","Lokomotivy,lokotraktory akumulátorové","Rail locomotives: powered by electric accumulators","","","","","1","","","","","","","","","",""
"900190","A04. Výroba nízkoemisní elektřiny a paliv","A04b. Solární","Komponenty pro solární energetiku","LSE Navigator","IN","0.1200","Y","0.1200","Hranoly,zrcadla aj články optické,nezasazené","Optical elements: lenses n.e.c. in heading no. 9001, prisms, mirrors and other optical elements, unmounted, of any material (excluding elements of glass not optically worked)","","","","","1","","","","","","","","","",""
