,HS6,OD,DO,POPIS
3359,620463,2017-01-01,2999-12-31,"Kalhoty,i krátké aj dámské ap z vláken syntet"
3360,620469,2017-01-01,2999-12-31,"Kalhoty,i krátké aj dámské ap z mat.text.ost."
3361,620520,2017-01-01,2999-12-31,"Košile pánské,chlapecké z bavlny"
3362,620530,2017-01-01,2999-12-31,"Košile pánské,chlapecké z vláken chemických"
3363,620590,2017-01-01,2999-12-31,"Košile pánské,chlapecké z mat.textilních ost."
3364,620610,2017-01-01,2999-12-31,"Halenky,košile dámské,dívčí z hedvábí přírod."
3365,620620,2017-01-01,2999-12-31,"Halenky,košile dámské,dívčí z vlny,chlupů zv."
3366,620630,2017-01-01,2999-12-31,"Halenky,košile dámské,dívčí z bavlny"
3367,620640,2017-01-01,2999-12-31,"Halenky,košile dámské,dívčí z vláken chemick."
3368,620690,2017-01-01,2999-12-31,"Halenky,košile dámské,dívčí z mat.textil.ost."
3369,620711,2017-01-01,2999-12-31,"Spodky krátké,dlouhé pánské ap z bavlny"
3370,620719,2017-01-01,2999-12-31,"Spodky krátké,dlouhé pánské ap z mat.text.ost"
3371,620721,2017-01-01,2999-12-31,"Košile noční,pyžama pánské ap z bavlny"
3372,620722,2017-01-01,2999-12-31,"Košile noční,pyžama pánské ap z vláken chem."
3373,620729,2017-01-01,2999-12-31,"Košile noční,pyžama pánské ap z mat.text.ost."
3374,620791,2017-01-01,2999-12-31,"Župany,pláště koupací aj pánské ap z bavlny"
3375,620799,2017-01-01,2999-12-31,"Župany,pláště koup.aj pánské ap z mat.tex.ost"
3376,620811,2017-01-01,2999-12-31,"Kombiné,spodničky dámské ap z vláken chemick."
3377,620819,2017-01-01,2999-12-31,"Kombiné,spodničky dámské ap z mater.text.ost."
3378,620821,2017-01-01,2999-12-31,"Košile noční,pyžama dámské ap z bavlny"
3379,620822,2017-01-01,2999-12-31,"Košile noční,pyžama dámské ap z vláken chemic"
3380,620829,2017-01-01,2999-12-31,"Košile noční,pyžama dámské ap z mat.text.ost"
3381,620891,2017-01-01,2999-12-31,"Tílka,kalhotky,župany aj dámské ap z bavlny"
3382,620892,2017-01-01,2999-12-31,"Tílka,kalhotky,župany aj dámské ap z vl.chem."
3383,620899,2017-01-01,2999-12-31,"Tílka,kalhotky,župany aj dámské z mat.tex.ost"
3384,620920,2017-01-01,2999-12-31,"Oděvy kojenecké,doplňky z bavlny"
3385,620930,2017-01-01,2999-12-31,"Oděvy kojenecké,doplňky z vláken syntetických"
3386,620990,2017-01-01,2999-12-31,"Oděvy kojenecké,doplňky z mat.textilních ost."
3387,621010,2017-01-01,2999-12-31,"Oděvy z plsti,textilií netkaných"
3388,621020,2017-01-01,2999-12-31,"Oděvy typů popsaných v čísle 6201, pogumované nebo impregnované, povrstvené, potažené nebo laminované plasty nebo jinými"
3389,621030,2017-01-01,2999-12-31,"Oděvy typů popsaných v čísle 6202, pogumované nebo impregnované, povrstvené, potažené nebo laminované plasty nebo jinými"
3390,621040,2017-01-01,2999-12-31,"Pánské nebo chlapecké oděvy z textilií, pogumované nebo impregnované, povrstvené, potažené nebo laminované plasty nebo j"
3391,621050,2017-01-01,2999-12-31,"Dámské nebo dívčí oděvy z textilií, pogumované nebo impregnované, povrstvené, potažené nebo laminované plasty nebo jiným"
3392,621111,2017-01-01,2999-12-31,"Plavky pánské,chlapecké"
3393,621112,2017-01-01,2999-12-31,"Plavky dámské,dívčí"
3394,621120,2017-01-01,2999-12-31,Oděvy lyžařské
3395,621132,2017-01-01,2999-12-31,"Oděvy ost.pánské,chlapecké z bavlny"
3396,621133,2017-01-01,2999-12-31,"Oděvy ost.pánské,chlapecké z vláken chemick."
3397,621139,2017-01-01,2999-12-31,"Oděvy ost.pánské,chlapecké z mater.textil.ost"
3398,621142,2017-01-01,2999-12-31,"Oděvy ost.dámské,dívčí z bavlny"
3399,621143,2017-01-01,2999-12-31,"Oděvy ost.dámské,dívčí z vláken chemických"
3400,621149,2017-01-01,2999-12-31,"Oděvy ost.dámské,dívčí z mater.textilních ost"
3401,621210,2017-01-01,2999-12-31,"Podprsenky,i pletené,háčkované"
3402,621220,2017-01-01,2999-12-31,"Pásy,kalhotky podvazkové,i pletené,háčkované"
3403,621230,2017-01-01,2999-12-31,"Korzety,i pletné,háčkované"
