HS_ID,Skupina,Podskupina,Kategorie,Included,CZ_Nazev,ENG_Nazev,Barva Skupina,Barva Kategorie
880694,Doprava,Ostatní elektrická doprava,Drony,IN,"Bezpilotní letadla, o maximální vzletové hmotnosti<br>> 25 kg, avšak <= 150<br>kg (kromě těch pro přepravu cestujících<br>nebo tě",Large UAV (25-150kg),#e6194B,#F032E6
880699,Doprava,Ostatní elektrická doprava,Drony,IN,"Bezpilotní letadla, o maximální vzletové hmotnosti<br>> 150 kg (kromě těch pro<br>přepravu cestujících nebo těch pouze pro<br>dál",Heavy UAV (>150kg),#e6194B,#F032E6
890120,Doprava,"Vodní  (individuální, osobní i nákladní)","Speciální lodě (cisterny, sací bagry, ...)",IN,Lodě cisternové,Tankers,#e6194B,#FABEBE
890510,Doprava,"Vodní  (individuální, osobní i nákladní)","Speciální lodě (cisterny, sací bagry, ...)",IN,Bagry sací plovoucí,Dredgers,#e6194B,#FABEBE
890520,Doprava,"Vodní  (individuální, osobní i nákladní)","Speciální lodě (cisterny, sací bagry, ...)",IN,"Plošiny vrtací,těžební,ponorné,plovoucí","Floating, submersible drilling or production platform",#e6194B,#FABEBE
890590,Doprava,"Vodní  (individuální, osobní i nákladní)","Speciální lodě (cisterny, sací bagry, ...)",IN,"Plavidla ost,kde plavba pouze vedl.činností","Floating docks, special function vessels nes",#e6194B,#FABEBE
890800,Cirkularita,Cirkularita (výrobní a obalová),Železný šrot,IN,"Lodě,čluny aj plavidla určená do šrotu",Vessels and other floating structures for breaking up,#f442d4,#D643F3
900190,Výroba nízkoemisní elektřiny a paliv,Solární,"Optická zařízení, lasery, teleskopy, dalekohledy, zrcadla",IN,"Hranoly,zrcadla aj články optické,nezasazené","Prisms, mirrors and optical elements nes, unmounted",#3cb44b,#3CB44B
900290,Výroba nízkoemisní elektřiny a paliv,Solární,"Optická zařízení, lasery, teleskopy, dalekohledy, zrcadla",IN,"Hranoly,zrcadla aj články optické,zasazené","Mounted lenses, prisms, mirrors, optical elements nes",#3cb44b,#3CB44B
900580,Výroba nízkoemisní elektřiny a paliv,Solární,"Optická zařízení, lasery, teleskopy, dalekohledy, zrcadla",IN,"Teleskopy opt.ost,přístroje astronomické ost.","Monoculars, telescopes, etc",#3cb44b,#3CB44B
900590,Výroba nízkoemisní elektřiny a paliv,Solární,"Optická zařízení, lasery, teleskopy, dalekohledy, zrcadla",IN,"Části dalkohledů,teleskopů,př.astronomických","Parts and accessories for binoculars, telescopes, etc",#3cb44b,#3CB44B
901380,Výroba nízkoemisní elektřiny a paliv,Solární,"Optická zařízení, lasery, teleskopy, dalekohledy, zrcadla",IN,"Přístroje,nástroje optické ostatní,jn","Optical devices, appliances and instruments, nes",#3cb44b,#3CB44B
901390,Výroba nízkoemisní elektřiny a paliv,Solární,"Optická zařízení, lasery, teleskopy, dalekohledy, zrcadla",IN,"Části laserů,výrobků s krystaly tekutými ap",Parts and accessories of optical appliances nes,#3cb44b,#3CB44B
901530,Měřící a diagnostické přístroje; Monitoring,"Měřící přístroje, surveying, chemická analýza","Měřící přístroje, surveying, chemická analýza",IN,Libely,Surveying levels,#ffe119,#E6FB47
